How much special attack energy does the Dragon mace use per special attack?,25%
How much Crafting XP do you get from spinning wool into a Ball of Wool?,2.5
The % chance of receiving a Golden nugget from Paydirt in the Motherlode Mine is closest to which number? 1% 2% 3% 5%,3
How many required quests do you need to complete before you can access the Nightmare Zone?,5
How many coal do you need when smithing an Adamant bar in a regular furnace?,6
How many water runes does a single Ice Barrage cast cost?,6
How many Town criers are there in Gielinor?,6
How many clue scroll tiers are there?,6
How many Iron ore rocks are there outside the Ardougne Monastery?,6
"Not including the default color, how many different colors can you recolor your Graceful into?",7
How many arms does a Karambwan have?,8
How many RFD subquests must you complete before you can purchase Dragon gloves?,9
How much XP do you get for clearing a Rockfall in the Motherlode Mine?,10
What's the maximum amount of targets a Black Chinchompa can hit at once?,10
What Mining level do you need to mine a Limestone rock?,10
How much HP does a Lobster heal?,12
How many achievement diary regions are there?,12
Ultimate Strength' is a prayer which increases your strength bonus by how much %?,15
What crafting level do you need to create a wieldable Crab claw?,15
"The King Black Dragon always drops the same quantity of Dragon javelin heads, how many does it drop?",15
How often do Minnow fishing spots move? (in seconds),15
What slayer level do you need to wear Earmuffs?,15
Ultimate Strength' is a prayer which increases your strength bonus by how much %?,15
The Rigour prayer increases your ranged attack bonus by how much %?,20
What woodcutting level do you need to use a Mithril Axe?,21
How many skills are there?,23
The chance of inflicting venom when attacking with the Toxic Blowpipe is ___%?,25
What cooking level do you need to make a Greenman's Ale,29
"When wearing full Graceful, your run energy is restored __% faster?",30
Wearing the full Gracefull outfit restores run energy by how much % faster?,30
In what wave in the Fight Caves does the monster which uses the Magic Attack first spawn?,31
What's the maximum amount of prayer points a Prayer Potion can restore?,31
What slayer level do you need to kill Mogres?,32
How many quest points do you need to enter the Champions' Guild?,32
What Crafting level do you need to make a Broodoo shield?,35
How much XP do you get from mining an Iron ore?,35
What Thieving level do you need to pickpocket a Master Farmer?,38
How many Minnows do you exchange to get 1 Raw Shark?,40
What Defence level do you need to wear Void Knight Equipment?,42
What prayer level do you need to use Eagle Eye?,44
At what Agility level can you use the Ape Atoll agility course?,48
What fishing level do you need for Barbarian Fishing?,48
What Strength level do you need to wield the Granite Hammer?,50
The 'Preserve' prayer makes boosted stats last how much % longer?,50
What agility level do you need to use the Wilderness Agility Course?,52
What crafting level do you need to make a Birdhouse trap from Yew logs?,60
What Runecrafting & Magic level do you need to create Primordial Boots?,60
What mining level do you need to mine Lunar ore?,60
What Magic level does the 'Trollheim' teleport require?,61
"With boosting, whats the lowest fishing level that can get you into the Fishing Guild?",63
